Sale_ID,Customer_ID,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Sale_Date
SALE000001,CUST00001,P005,Blender,Home Appliance,3,294.3,0.24,2/19/2025
SALE000002,CUST00002,P004,T-shirt,Apparel,4,424.8,0,2/14/2025
SALE000003,CUST00003,P003,Notebook,Stationery,3,106.29,0.06,11/5/2024
SALE000004,CUST00004,P001,Smartphone,Electronics,4,108.4,0.2,11/16/2023
SALE000005,CUST00005,P005,Blender,Home Appliance,4,300.57,0.11,5/19/2023
SALE000006,CUST00006,P001,Smartphone,Electronics,3,475.87,0.29,6/8/2023
SALE000007,CUST00007,P003,Notebook,Stationery,2,236.75,0.2,3/10/2025
SALE000008,CUST00008,P002,Shoes,Footwear,4,197.12,0.29,9/12/2024
SALE000009,CUST00009,P001,Smartphone,Electronics,3,323.01,0.06,7/7/2023
SALE000010,CUST00010,P003,Notebook,Stationery,1,468.7,0.26,5/14/2023
SALE000011,CUST00011,P002,Shoes,Footwear,3,426.62,0.1,10/22/2023
SALE000012,CUST00012,P005,Blender,Home Appliance,1,497.97,0.3,5/7/2024
SALE000013,CUST00013,P003,Notebook,Stationery,4,60.16,0.05,12/23/2024
SALE000014,CUST00014,P003,Notebook,Stationery,3,100.79,0.15,5/24/2024
SALE000015,CUST00015,P001,Smartphone,Electronics,3,324.26,0.24,3/2/2024
SALE000016,CUST00016,P003,Notebook,Stationery,1,419.26,0.13,4/12/2025
SALE000017,CUST00017,P004,T-shirt,Apparel,3,178.36,0.14,10/15/2023
SALE000018,CUST00018,P002,Shoes,Footwear,3,157.64,0.3,9/14/2023
SALE000019,CUST00019,P001,Smartphone,Electronics,4,404.14,0.13,10/18/2023
SALE000020,CUST00020,P004,T-shirt,Apparel,3,75.37,0.18,2/2/2024
SALE000021,CUST00021,P004,T-shirt,Apparel,2,216.22,0.02,5/16/2023
SALE000022,CUST00022,P003,Notebook,Stationery,1,277.61,0.25,4/29/2024
SALE000023,CUST00023,P002,Shoes,Footwear,3,302.16,0.19,6/28/2023
SALE000024,CUST00024,P003,Notebook,Stationery,1,377.88,0.12,3/12/2024
SALE000025,CUST00025,P005,Blender,Home Appliance,1,209.68,0,6/14/2023
SALE000026,CUST00026,P002,Shoes,Footwear,1,325.71,0.18,6/27/2023
SALE000027,CUST00027,P005,Blender,Home Appliance,3,313.42,0,6/23/2023
SALE000028,CUST00028,P003,Notebook,Stationery,3,296.43,0,12/15/2023
SALE000029,CUST00029,P001,Smartphone,Electronics,1,338.22,0.18,9/21/2023
SALE000030,CUST00030,P004,T-shirt,Apparel,2,166.75,0.06,2/12/2024
SALE000031,CUST00031,P004,T-shirt,Apparel,1,88.09,0.06,7/21/2023
SALE000032,CUST00032,P004,T-shirt,Apparel,2,103.67,0.2,8/29/2024
SALE000033,CUST00033,P003,Notebook,Stationery,1,151.06,0.02,12/2/2024
SALE000034,CUST00034,P001,Smartphone,Electronics,4,275.09,0.09,12/1/2024
SALE000035,CUST00035,P004,T-shirt,Apparel,1,428.2,0.04,11/11/2024
SALE000036,CUST00036,P005,Blender,Home Appliance,1,365.58,0.17,3/31/2025
SALE000037,CUST00037,P005,Blender,Home Appliance,3,405.07,0.2,7/18/2023
SALE000038,CUST00038,P004,T-shirt,Apparel,2,207.94,0.22,1/9/2024
SALE000039,CUST00039,P005,Blender,Home Appliance,4,232.09,0.08,10/16/2023
SALE000040,CUST00040,P005,Blender,Home Appliance,2,227.16,0.03,8/22/2023
SALE000041,CUST00041,P003,Notebook,Stationery,4,136.34,0.02,6/4/2024
SALE000042,CUST00042,P005,Blender,Home Appliance,1,77.55,0.13,11/21/2024
SALE000043,CUST00043,P003,Notebook,Stationery,3,315.91,0.28,7/23/2024
SALE000044,CUST00044,P004,T-shirt,Apparel,3,495.15,0.07,8/16/2023
SALE000045,CUST00045,P003,Notebook,Stationery,2,125.07,0.08,7/5/2024
SALE000046,CUST00046,P005,Blender,Home Appliance,3,71.01,0.03,8/15/2023
SALE000047,CUST00047,P001,Smartphone,Electronics,2,400.79,0.18,9/8/2023
SALE000048,CUST00048,P001,Smartphone,Electronics,2,163.66,0.2,9/19/2023
SALE000049,CUST00049,P001,Smartphone,Electronics,4,423.34,0.19,7/5/2023
SALE000050,CUST00050,P004,T-shirt,Apparel,2,366.77,0.26,10/13/2024
SALE000051,CUST00051,P004,T-shirt,Apparel,4,475.55,0.15,6/4/2024
SALE000052,CUST00052,P004,T-shirt,Apparel,3,234.02,0.04,10/15/2024
SALE000053,CUST00053,P002,Shoes,Footwear,2,347.89,0.09,9/18/2023
SALE000054,CUST00054,P004,T-shirt,Apparel,2,259.18,0.2,2/10/2025
SALE000055,CUST00055,P003,Notebook,Stationery,1,333.76,0.18,5/24/2023
SALE000056,CUST00056,P001,Smartphone,Electronics,2,252.32,0.16,6/15/2023
SALE000057,CUST00057,P005,Blender,Home Appliance,2,134.88,0.2,7/31/2024
SALE000058,CUST00058,P004,T-shirt,Apparel,1,278.55,0.19,4/16/2025
SALE000059,CUST00059,P005,Blender,Home Appliance,1,287.86,0.26,1/8/2025
SALE000060,CUST00060,P002,Shoes,Footwear,3,414.77,0.18,1/30/2024
SALE000061,CUST00061,P005,Blender,Home Appliance,2,380.98,0.23,3/16/2025
SALE000062,CUST00062,P004,T-shirt,Apparel,3,348.71,0.07,5/25/2023
SALE000063,CUST00063,P005,Blender,Home Appliance,3,101.02,0.2,12/31/2024
SALE000064,CUST00064,P005,Blender,Home Appliance,1,374.28,0.27,3/22/2025
SALE000065,CUST00065,P003,Notebook,Stationery,4,275.14,0.12,6/25/2023
SALE000066,CUST00066,P002,Shoes,Footwear,3,452.34,0.23,3/22/2025
SALE000067,CUST00067,P004,T-shirt,Apparel,4,463.94,0.22,12/22/2024
SALE000068,CUST00068,P004,T-shirt,Apparel,2,74.82,0.02,4/23/2023
SALE000069,CUST00069,P001,Smartphone,Electronics,1,419.29,0.17,9/5/2023
SALE000070,CUST00070,P001,Smartphone,Electronics,2,66.96,0.04,4/17/2024
SALE000071,CUST00071,P002,Shoes,Footwear,2,215.23,0.29,7/19/2024
SALE000072,CUST00072,P003,Notebook,Stationery,1,294.03,0.24,12/9/2024
SALE000073,CUST00073,P005,Blender,Home Appliance,2,116.65,0.03,10/29/2023
SALE000074,CUST00074,P002,Shoes,Footwear,1,385.84,0.04,11/11/2024
SALE000075,CUST00075,P001,Smartphone,Electronics,4,53.76,0.18,5/27/2024
SALE000076,CUST00076,P004,T-shirt,Apparel,2,125.87,0.1,12/4/2024
SALE000077,CUST00077,P003,Notebook,Stationery,1,311.36,0.01,11/6/2023
SALE000078,CUST00078,P003,Notebook,Stationery,3,371.47,0.16,3/25/2025
SALE000079,CUST00079,P005,Blender,Home Appliance,2,462.49,0.12,1/4/2025
SALE000080,CUST00080,P005,Blender,Home Appliance,4,367.47,0.03,8/4/2023
SALE000081,CUST00081,P002,Shoes,Footwear,1,352.3,0.24,11/13/2024
SALE000082,CUST00082,P003,Notebook,Stationery,2,227.45,0.27,1/17/2024
SALE000083,CUST00083,P002,Shoes,Footwear,2,50.58,0.23,9/28/2023
SALE000084,CUST00084,P004,T-shirt,Apparel,2,104.07,0.25,1/8/2024
SALE000085,CUST00085,P005,Blender,Home Appliance,4,290.55,0.06,12/12/2023
SALE000086,CUST00086,P001,Smartphone,Electronics,1,353.81,0.08,12/13/2023
SALE000087,CUST00087,P003,Notebook,Stationery,3,237.85,0.06,7/17/2023
SALE000088,CUST00088,P004,T-shirt,Apparel,3,378.81,0.23,8/20/2023
SALE000089,CUST00089,P001,Smartphone,Electronics,3,284.84,0.28,8/6/2023
SALE000090,CUST00090,P003,Notebook,Stationery,1,83.38,0.22,11/24/2023
SALE000091,CUST00091,P001,Smartphone,Electronics,3,136.41,0.26,2/23/2025
SALE000092,CUST00092,P004,T-shirt,Apparel,4,428,0.19,11/23/2024
SALE000093,CUST00093,P005,Blender,Home Appliance,1,376.21,0.12,6/28/2023
SALE000094,CUST00094,P002,Shoes,Footwear,2,452.64,0.13,11/15/2024
SALE000095,CUST00095,P004,T-shirt,Apparel,4,102.9,0.02,7/10/2024
SALE000096,CUST00096,P003,Notebook,Stationery,2,495.6,0.01,11/28/2023
SALE000097,CUST00097,P001,Smartphone,Electronics,3,144.23,0.21,11/9/2024
SALE000098,CUST00098,P005,Blender,Home Appliance,4,55.3,0.13,8/13/2024
SALE000099,CUST00099,P004,T-shirt,Apparel,1,498.84,0.17,11/1/2023
SALE000100,CUST00100,P003,Notebook,Stationery,4,176.48,0.17,9/29/2024
SALE000101,CUST00101,P004,T-shirt,Apparel,2,350.61,0.08,11/7/2024
SALE000102,CUST00102,P005,Blender,Home Appliance,1,129.51,0.14,1/19/2025
SALE000103,CUST00103,P002,Shoes,Footwear,4,311.1,0.14,7/6/2023
SALE000104,CUST00104,P004,T-shirt,Apparel,4,456.82,0.12,9/5/2024
SALE000105,CUST00105,P005,Blender,Home Appliance,4,194.08,0.25,6/20/2023
SALE000106,CUST00106,P002,Shoes,Footwear,4,351.61,0.14,6/25/2023
SALE000107,CUST00107,P001,Smartphone,Electronics,1,134.56,0.18,8/19/2024
SALE000108,CUST00108,P002,Shoes,Footwear,2,331.16,0.27,4/3/2025
SALE000109,CUST00109,P002,Shoes,Footwear,4,201.4,0.26,8/28/2024
SALE000110,CUST00110,P004,T-shirt,Apparel,1,145.04,0.27,4/25/2023
SALE000111,CUST00111,P002,Shoes,Footwear,2,190.93,0.08,4/14/2024
SALE000112,CUST00112,P003,Notebook,Stationery,4,130.48,0.01,11/14/2024
SALE000113,CUST00113,P004,T-shirt,Apparel,2,455.86,0.08,4/12/2024
SALE000114,CUST00114,P001,Smartphone,Electronics,2,228.73,0.08,6/29/2024
SALE000115,CUST00115,P002,Shoes,Footwear,1,160.38,0.27,8/29/2023
SALE000116,CUST00116,P003,Notebook,Stationery,2,251.78,0.19,1/18/2024
SALE000117,CUST00117,P004,T-shirt,Apparel,1,194.24,0.02,4/16/2025
SALE000118,CUST00118,P004,T-shirt,Apparel,4,384.99,0.04,12/5/2023
SALE000119,CUST00119,P002,Shoes,Footwear,2,487.05,0.05,5/20/2023
