Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount,Payment_Mode,Status,Channel,Merchant_ID
TXN000001,CUST00001,7/26/2024,Purchase,380.79,UPI,Success,In-store,M147
TXN000002,CUST00002,2/20/2024,Purchase,951.21,UPI,Failed,Online,M684
TXN000003,CUST00003,9/4/2023,Purchase,734.67,Cash,Success,Online,M971
TXN000004,CUST00004,10/27/2023,Purchase,602.67,UPI,Success,Online,M384
TXN000005,CUST00005,3/19/2024,Purchase,164.46,Credit Card,Success,Online,M856
TXN000006,CUST00006,8/24/2024,Purchase,164.43,UPI,Success,Online,M134
TXN000007,CUST00007,4/9/2025,Purchase,67.5,UPI,Success,In-store,M915
TXN000008,CUST00008,1/15/2025,Purchase,867.51,Cash,Success,Online,M518
TXN000009,CUST00009,11/19/2023,Refund,605.1,Cash,Success,In-store,M481
TXN000010,CUST00010,1/25/2024,Purchase,710.99,Credit Card,Success,Online,M507
TXN000011,CUST00011,5/4/2024,Purchase,30.38,Cash,Success,Online,M465
TXN000012,CUST00012,12/19/2024,Purchase,970.21,UPI,Success,Online,M843
TXN000013,CUST00013,9/15/2023,Purchase,834.12,Debit Card,Success,Online,M618
TXN000014,CUST00014,1/15/2025,Purchase,220.22,Credit Card,Success,Online,M253
TXN000015,CUST00015,4/26/2023,Purchase,190.01,Credit Card,Success,In-store,M347
TXN000016,CUST00016,1/6/2025,Refund,191.57,Cash,Success,Online,M862
TXN000017,CUST00017,4/10/2024,Purchase,311.2,Cash,Success,Online,M397
TXN000018,CUST00018,3/15/2025,Purchase,529.51,Debit Card,Success,Online,M839
TXN000019,CUST00019,4/7/2025,Purchase,437.63,Debit Card,Success,Online,M369
TXN000020,CUST00020,11/15/2023,Purchase,298.32,UPI,Failed,In-store,M451
TXN000021,CUST00021,7/30/2023,Purchase,615.73,UPI,Success,Online,M350
TXN000022,CUST00022,2/22/2024,Purchase,148.1,Credit Card,Success,Online,M637
TXN000023,CUST00023,6/22/2024,Purchase,299.22,Credit Card,Success,In-store,M919
TXN000024,CUST00024,2/15/2024,Purchase,372.7,UPI,Success,In-store,M441
TXN000025,CUST00025,6/6/2023,Purchase,461.51,UPI,Success,In-store,M770
TXN000026,CUST00026,1/25/2025,Purchase,787.32,Cash,Success,Online,M772
TXN000027,CUST00027,2/8/2025,Purchase,207.68,UPI,Success,Online,M532
TXN000028,CUST00028,8/5/2024,Purchase,519.09,Cash,Success,Online,M474
TXN000029,CUST00029,3/31/2025,Purchase,596.49,Cash,Success,In-store,M351
TXN000030,CUST00030,8/23/2024,Purchase,55.99,Cash,Success,Online,M450
TXN000031,CUST00031,4/14/2025,Purchase,611.47,Credit Card,Success,Online,M284
TXN000032,CUST00032,4/20/2024,Purchase,178.82,UPI,Success,In-store,M305
TXN000033,CUST00033,5/3/2024,Purchase,74.4,Cash,Success,Online,M985
TXN000034,CUST00034,6/14/2024,Purchase,949.4,Debit Card,Success,In-store,M793
TXN000035,CUST00035,3/27/2025,Purchase,965.98,Debit Card,Success,Online,M233
TXN000036,CUST00036,1/22/2025,Purchase,810.31,Credit Card,Success,Online,M521
TXN000037,CUST00037,1/2/2024,Purchase,311.57,Debit Card,Success,In-store,M540
TXN000038,CUST00038,4/22/2023,Refund,106.7,UPI,Success,Online,M132
TXN000039,CUST00039,5/6/2023,Purchase,687.39,UPI,Success,Online,M746
TXN000040,CUST00040,12/2/2024,Purchase,445.75,Debit Card,Success,Online,M799
TXN000041,CUST00041,4/5/2025,Purchase,130.82,Credit Card,Success,Online,M787
TXN000042,CUST00042,10/22/2023,Purchase,500.23,Debit Card,Success,Online,M880
TXN000043,CUST00043,6/20/2024,Purchase,44.04,Credit Card,Success,Online,M113
TXN000044,CUST00044,3/6/2025,Purchase,910.23,Credit Card,Success,Online,M982
TXN000045,CUST00045,4/3/2025,Purchase,266.19,Cash,Success,Online,M137
TXN000046,CUST00046,11/9/2024,Purchase,665.9,Credit Card,Success,In-store,M366
TXN000047,CUST00047,6/3/2024,Purchase,318.59,Cash,Success,Online,M577
TXN000048,CUST00048,4/20/2024,Purchase,524.87,UPI,Success,Online,M129
TXN000049,CUST00049,7/22/2023,Purchase,551.24,UPI,Success,Online,M975
TXN000050,CUST00050,8/1/2024,Purchase,193.01,Cash,Success,Online,M684
TXN000051,CUST00051,7/13/2023,Purchase,969.89,UPI,Success,In-store,M854
TXN000052,CUST00052,9/15/2024,Purchase,777.38,Credit Card,Success,Online,M180
TXN000053,CUST00053,8/7/2024,Purchase,940.1,Cash,Success,Online,M171
TXN000054,CUST00054,4/23/2023,Purchase,895.88,UPI,Success,Online,M161
TXN000055,CUST00055,12/8/2024,Purchase,601.92,Credit Card,Success,In-store,M853
TXN000056,CUST00056,6/4/2023,Purchase,922.66,Credit Card,Success,Online,M351
TXN000057,CUST00057,1/9/2025,Purchase,97.61,Credit Card,Success,Online,M934
TXN000058,CUST00058,3/16/2025,Purchase,204.02,Credit Card,Success,Online,M415
TXN000059,CUST00059,10/4/2023,Refund,54.78,Debit Card,Success,In-store,M698
TXN000060,CUST00060,5/17/2024,Purchase,332.08,Cash,Success,Online,M871
TXN000061,CUST00061,11/22/2023,Purchase,394.79,Credit Card,Success,Online,M781
TXN000062,CUST00062,12/14/2023,Refund,278.64,Debit Card,Success,In-store,M470
TXN000063,CUST00063,5/9/2023,Purchase,830.45,Cash,Success,Online,M944
TXN000064,CUST00064,6/22/2023,Purchase,363.19,Debit Card,Success,In-store,M531
TXN000065,CUST00065,5/25/2023,Purchase,288.13,Credit Card,Success,In-store,M179
TXN000066,CUST00066,7/2/2024,Purchase,547.27,Credit Card,Success,In-store,M180
TXN000067,CUST00067,10/12/2023,Purchase,149.51,Debit Card,Success,In-store,M714
TXN000068,CUST00068,8/7/2024,Purchase,804.18,Cash,Success,Online,M805
TXN000069,CUST00069,4/10/2024,Purchase,83.81,Debit Card,Failed,In-store,M883
TXN000070,CUST00070,4/25/2024,Purchase,987.02,Cash,Success,Online,M712
TXN000071,CUST00071,2/19/2025,Purchase,774.52,Debit Card,Failed,In-store,M613
TXN000072,CUST00072,12/13/2024,Purchase,206.73,UPI,Success,In-store,M681
TXN000073,CUST00073,3/8/2025,Purchase,15.47,Credit Card,Success,Online,M705
TXN000074,CUST00074,9/18/2024,Purchase,817.31,Cash,Success,In-store,M853
TXN000075,CUST00075,4/23/2024,Purchase,709.79,UPI,Success,Online,M508
TXN000076,CUST00076,8/1/2024,Purchase,731.72,UPI,Success,Online,M953
TXN000077,CUST00077,9/28/2023,Refund,773.56,Debit Card,Success,Online,M421
